Cidades,Coef_s,Coef_d
Riad,0.13409708734141615,-0.09126776222575132
Rio de Janeiro,0.1615219031945897,-0.10009838636511394
Niterói,0.2521114802096293,-0.05577673772335704
Buenos Aires,0.16271168766622396,-0.06562686240045978
Região Metropolitana de Santiago,0.09677913683343045,-0.0406000447946495
Tóquio,0.18209141776231738,-0.023232037011845834
Paris,0.08090757480294411,-0.059127473095335725
New York County,0.11547587412947798,-0.10122272922355127
Tanguá,0.25554065559381584,-0.1295832528260066
