Evolução,Diário,,Acumulados,
27/09,23,23,22.152,22.152
28/09,21,21,22.173,22.173
29/09,25,25,22.198,22.198
30/09,35,35,22.233,22.233
01/10,22,22,22.255,22.255
02/10,13,13,22.268,22.268
03/10,14,14,22.282,22.282
04/10,39,39,22.321,22.321
05/10,39,39,22.360,22.360
06/10,29,29,22.389,22.389
07/10,26,26,22.415,22.415
08/10,41,41,22.456,22.456
09/10,11,11,22.467,22.467
10/10,6,6,22.473,22.473
11/10,15,15,22.488,22.488
12/10,11,11,22.499,22.499
13/10,42,42,22.541,22.541
14/10,32,32,22.573,22.573
15/10,23,23,22.596,22.596
16/10,26,26,22.622,22.622
17/10,18,18,22.640,22.640
18/10,30,30,22.670,22.670
19/10,37,37,22.707,22.707
20/10,26,26,22.733,22.733
21/10,37,37,22.770,22.770
22/10,26,26,22.796,22.796
23/10,9,9,22.805,22.805
24/10,12,12,22.817,22.817
25/10,40,40,22.857,22.857
26/10,35,35,22.892,22.892
27/10,35,35,22.927,22.927
28/10,33,33,22.960,22.960
29/10,30,30,22.990,22.990
30/10,34,34,23.024,23.024
31/10,14,14,23.038,23.038
01/11,20,20,23.058,23.058
02/11,14,14,23.072,23.072
03/11,42,42,23.114,23.114
04/11,34,34,23.148,23.148
05/11,34,34,23.182,23.182
06/11,21,21,23.203,23.203
07/11,19,19,23.222,23.222
08/11,29,29,23.251,23.251
09/11,12,12,23.263,23.263
10/11,25,25,23.288,23.288
11/11,27,27,23.315,23.315
12/11,20,20,23.335,23.335
13/11,7,7,23.342,23.342
14/11,9,9,23.351,23.351
15/11,15,15,23.366,23.366
16/11,46,46,23.412,23.412
17/11,31,31,23.443,23.443
18/11,31,31,23.474,23.474
19/11,22,22,23.496,23.496
20/11,10,10,23.506,23.506
21/11,13,13,23.519,23.519
22/11,31,31,23.550,23.550
23/11,18,18,23.568,23.568
24/11,13,13,23.581,23.581
25/11,18,18,23.599,23.599
26/11,22,22,23.621,23.621
27/11,17,17,23.638,23.638
28/11,20,20,23.658,23.658
29/11,36,36,23.694,23.694
30/11,22,22,23.716,23.716
01/12,23,23,23.739,23.739
02/12,23,23,23.762,23.762
03/12,26,26,23.788,23.788
04/12,11,11,23.799,23.799
05/12,11,11,23.810,23.810
06/12,31,31,23.841,23.841
07/12,48,48,23.889,23.889
08/12,36,36,23.925,23.925
09/12,34,34,23.959,23.959
10/12,41,41,24.000,24.000
11/12,22,22,24.022,24.022
12/12,11,11,24.033,24.033
13/12,29,29,24.062,24.062
14/12,14,14,24.076,24.076
15/12,26,26,24.102,24.102
16/12,10,10,24.112,24.112
17/12,5,5,24.117,24.117
18/12,4,4,24.121,24.121
19/12,10,10,24.131,24.131
20/12,14,14,24.145,24.145
21/12,10,10,24.155,24.155
22/12,16,16,24.171,24.171
23/12,27,27,24.198,24.198
24/12,19,19,24.217,24.217
25/12,11,11,24.228,24.228
26/12,18,18,24.246,24.246
27/12,66,66,24.312,24.312
28/12,67,67,24.379,24.379
29/12,68,68,24.447,24.447
30/12,93,93,24.540,24.540
31/12,74,74,24.614,24.614
