Evolução,Diário,,Acumulados,
29/09,57,57,20.590,20.590
30/09,73,73,20.663,20.663
01/10,79,79,20.742,20.742
02/10,87,87,20.829,20.829
03/10,63,63,20.892,20.892
04/10,52,52,20.944,20.944
05/10,86,86,21.030,21.030
06/10,103,103,21.133,21.133
07/10,106,106,21.239,21.239
08/10,104,104,21.343,21.343
09/10,119,119,21.462,21.462
10/10,73,73,21.535,21.535
11/10,12,12,21.547,21.547
12/10,32,32,21.579,21.579
13/10,144,144,21.723,21.723
14/10,56,56,21.779,21.779
15/10,73,73,21.852,21.852
16/10,172,172,22.024,22.024
17/10,36,36,22.060,22.060
18/10,23,23,22.083,22.083
19/10,272,272,22.355,22.355
20/10,160,160,22.515,22.515
21/10,125,125,22.640,22.640
22/10,155,155,22.795,22.795
23/10,92,92,22.887,22.887
24/10,83,83,22.970,22.970
25/10,49,49,23.019,23.019
26/10,174,174,23.193,23.193
27/10,156,156,23.349,23.349
28/10,172,172,23.521,23.521
29/10,201,201,23.722,23.722
30/10,114,114,23.836,23.836
31/10,79,79,23.915,23.915
01/11,72,72,23.987,23.987
02/11,134,134,24.121,24.121
03/11,190,190,24.311,24.311
04/11,143,143,24.454,24.454
05/11,191,191,24.645,24.645
06/11,265,265,24.910,24.910
07/11,144,144,25.054,25.054
08/11,91,91,25.145,25.145
09/11,246,246,25.391,25.391
10/11,221,221,25.612,25.612
11/11,236,236,25.848,25.848
12/11,192,192,26.040,26.040
13/11,203,203,26.243,26.243
14/11,148,148,26.391,26.391
15/11,111,111,26.502,26.502
16/11,236,236,26.738,26.738
17/11,235,235,26.973,26.973
18/11,202,202,27.175,27.175
19/11,159,159,27.334,27.334
20/11,146,146,27.480,27.480
21/11,155,155,27.635,27.635
22/11,137,137,27.772,27.772
23/11,247,247,28.019,28.019
24/11,263,263,28.282,28.282
25/11,263,263,28.545,28.545
26/11,178,178,28.723,28.723
27/11,191,191,28.914,28.914
28/11,87,87,29.001,29.001
29/11,153,153,29.154,29.154
30/11,223,223,29.377,29.377
01/12,174,174,29.551,29.551
02/12,169,169,29.720,29.720
03/12,134,134,29.854,29.854
04/12,95,95,29.949,29.949
05/12,91,91,30.040,30.040
06/12,75,75,30.115,30.115
07/12,141,141,30.256,30.256
08/12,153,153,30.409,30.409
09/12,142,142,30.551,30.551
10/12,145,145,30.696,30.696
11/12,147,147,30.843,30.843
12/12,96,96,30.939,30.939
13/12,84,84,31.023,31.023
14/12,129,129,31.152,31.152
15/12,109,109,31.261,31.261
16/12,131,131,31.392,31.392
17/12,105,105,31.497,31.497
18/12,106,106,31.603,31.603
19/12,55,55,31.658,31.658
20/12,56,56,31.714,31.714
21/12,117,117,31.831,31.831
22/12,96,96,31.927,31.927
23/12,91,91,32.018,32.018
24/12,52,52,32.070,32.070
25/12,42,42,32.112,32.112
26/12,82,82,32.194,32.194
27/12,76,76,32.270,32.270
28/12,167,167,32.437,32.437
29/12,98,98,32.535,32.535
30/12,88,88,32.623,32.623
31/12,52,52,32.675,32.675
