Evolução,Diário,,Acumulados,
01/01,10,10,10,10
02/01,53,53,63,63
03/01,175,175,238,238
04/01,173,173,411,411
05/01,321,321,732,732
06/01,297,297,1.029,1.029
07/01,192,192,1.221,1.221
08/01,133,133,1.354,1.354
09/01,121,121,1.475,1.475
10/01,627,627,2.102,2.102
11/01,527,527,2.629,2.629
12/01,474,474,3.103,3.103
13/01,286,286,3.389,3.389
14/01,242,242,3.631,3.631
15/01,47,47,3.678,3.678
16/01,52,52,3.730,3.730
17/01,375,375,4.105,4.105
18/01,235,235,4.340,4.340
19/01,116,116,4.456,4.456
20/01,63,63,4.519,4.519
21/01,145,145,4.664,4.664
22/01,49,49,4.713,4.713
23/01,36,36,4.749,4.749
24/01,173,173,4.922,4.922
25/01,83,83,5.005,5.005
26/01,19,19,5.024,5.024
27/01,108,108,5.132,5.132
28/01,135,135,5.267,5.267
29/01,51,51,5.318,5.318
30/01,21,21,5.339,5.339
31/01,91,91,5.430,5.430
01/02,39,39,5.469,5.469
02/02,48,48,5.517,5.517
03/02,31,31,5.548,5.548
04/02,20,20,5.568,5.568
05/02,20,20,5.588,5.588
06/02,14,14,5.602,5.602
07/02,8,8,5.610,5.610
08/02,20,20,5.630,5.630
09/02,11,11,5.641,5.641
10/02,19,19,5.660,5.660
11/02,14,14,5.674,5.674
12/02,1,1,5.675,5.675
13/02,4,4,5.679,5.679
14/02,30,30,5.709,5.709
15/02,42,42,5.751,5.751
16/02,13,13,5.764,5.764
17/02,11,11,5.775,5.775
18/02,36,36,5.811,5.811
19/02,8,8,5.819,5.819
20/02,2,2,5.821,5.821
21/02,4,4,5.825,5.825
22/02,46,46,5.871,5.871
23/02,3,3,5.874,5.874
24/02,35,35,5.909,5.909
25/02,1,1,5.910,5.910
26/02,38,38,5.948,5.948
27/02,27,27,5.975,5.975
28/02,28,28,6.003,6.003
01/03,28,28,6.031,6.031
02/03,52,52,6.083,6.083
03/03,26,26,6.109,6.109
04/03,55,55,6.164,6.164
05/03,3,3,6.167,6.167
07/03,33,33,6.200,6.200
08/03,34,34,6.234,6.234
09/03,12,12,6.246,6.246
10/03,22,22,6.268,6.268
11/03,3,3,6.271,6.271
13/03,1,1,6.272,6.272
14/03,32,32,6.304,6.304
15/03,6,6,6.310,6.310
16/03,47,47,6.357,6.357
17/03,4,4,6.361,6.361
18/03,25,25,6.386,6.386
20/03,15,15,6.401,6.401
21/03,4,4,6.405,6.405
22/03,34,34,6.439,6.439
23/03,21,21,6.460,6.460
24/03,36,36,6.496,6.496
25/03,76,76,6.572,6.572
26/03,1,1,6.573,6.573
27/03,1,1,6.574,6.574
28/03,27,27,6.601,6.601
29/03,32,32,6.633,6.633
30/03,32,32,6.665,6.665
31/03,29,29,6.694,6.694
01/04,33,33,6.727,6.727
02/04,37,37,6.764,6.764
03/04,37,37,6.801,6.801
04/04,34,34,6.835,6.835
05/04,50,50,6.885,6.885
06/04,22,22,6.907,6.907
07/04,18,18,6.925,6.925
08/04,31,31,6.956,6.956
09/04,49,49,7.005,7.005
10/04,19,19,7.024,7.024
11/04,61,61,7.085,7.085
12/04,30,30,7.115,7.115
13/04,53,53,7.168,7.168
15/04,40,40,7.208,7.208
16/04,31,31,7.239,7.239
17/04,5,5,7.244,7.244
18/04,2,2,7.246,7.246
19/04,17,17,7.263,7.263
20/04,2,2,7.265,7.265
