,Datas,Berlim
244,2020/11/15,432.0
245,2020/11/16,1337.0
246,2020/11/17,1572.0
247,2020/11/18,1457.0
248,2020/11/19,1251.0
249,2020/11/20,1703.0
250,2020/11/21,1051.0
251,2020/11/22,436.0
252,2020/11/23,805.0
253,2020/11/24,1615.0
254,2020/11/25,1630.0
255,2020/11/26,1110.0
256,2020/11/27,1400.0
257,2020/11/28,824.0
258,2020/11/29,332.0
259,2020/11/30,925.0
260,2020/12/01,1161.0
261,2020/12/02,958.0
262,2020/12/03,1244.0
263,2020/12/04,1260.0
264,2020/12/05,1320.0
265,2020/12/06,355.0
266,2020/12/07,640.0
267,2020/12/08,1348.0
268,2020/12/09,1123.0
269,2020/12/10,1656.0
270,2020/12/11,1002.0
271,2020/12/12,1038.0
272,2020/12/13,548.0
273,2020/12/14,1008.0
274,2020/12/15,1129.0
275,2020/12/16,1283.0
276,2020/12/17,1473.0
277,2020/12/18,1545.0
278,2020/12/19,1325.0
279,2020/12/20,516.0
280,2020/12/21,953.0
281,2020/12/22,1504.0
282,2020/12/23,1593.0
283,2020/12/24,952.0
284,2020/12/25,278.0
285,2020/12/26,635.0
286,2020/12/27,815.0
287,2020/12/28,646.0
288,2020/12/29,1287.0
289,2020/12/30,1059.0
290,2020/12/31,643.0
291,2021/01/01,207.0
292,2021/01/02,460.0
293,2021/01/03,656.0
294,2021/01/04,771.0
295,2021/01/05,1235.0
296,2021/01/06,1306.0
297,2021/01/07,1569.0
298,2021/01/08,1479.0
299,2021/01/09,732.0
300,2021/01/10,340.0
301,2021/01/11,1036.0
302,2021/01/12,1070.0
303,2021/01/13,1222.0
304,2021/01/14,1222.0
305,2021/01/15,990.0
306,2021/01/16,495.0
307,2021/01/17,284.0
308,2021/01/18,544.0
309,2021/01/19,824.0
310,2021/01/20,732.0
311,2021/01/21,901.0
312,2021/01/22,615.0
313,2021/01/23,463.0
314,2021/01/24,160.0
315,2021/01/25,369.0
316,2021/01/26,433.0
317,2021/01/27,890.0
