Datas,Buenos Aires
2021/02/05,594
2021/02/06,361
2021/02/07,289
2021/02/08,514
2021/02/09,548
2021/02/10,492
2021/02/11,625
2021/02/12,490
2021/02/13,396
2021/02/14,272
2021/02/15,268
2021/02/16,349
2021/02/17,505
2021/02/18,536
2021/02/19,463
2021/02/20,372
2021/02/21,325
2021/02/22,384
2021/02/23,510
2021/02/24,508
2021/02/25,479
2021/02/26,430
2021/02/27,356
2021/02/28,242
2021/03/01,516
2021/03/02,514
2021/03/03,502
2021/03/04,539
2021/03/05,458
2021/03/06,356
2021/03/07,291
2021/03/08,468
2021/03/09,533
2021/03/10,544
2021/03/11,504
2021/03/12,569
2021/03/13,504
2021/03/14,321
2021/03/15,545
2021/03/16,631
2021/03/17,627
2021/03/18,607
2021/03/19,581
2021/03/20,503
2021/03/21,352
2021/03/22,788
2021/03/23,798
2021/03/24,672
2021/03/25,914
2021/03/26,1098
2021/03/27,823
2021/03/28,724
2021/03/29,1238
2021/03/30,1353
2021/03/31,1456
2021/04/01,1447
2021/04/02,1234
2021/04/03,1313
2021/04/04,1208
2021/04/05,1780
2021/04/06,2052
2021/04/07,2172
2021/04/08,2176
2021/04/09,2089
2021/04/10,1849
2021/04/11,1447
2021/04/12,2149
2021/04/13,2212
2021/04/14,2160
2021/04/15,1972
2021/04/16,2038
2021/04/17,1743
2021/04/18,1512
2021/04/19,2070
2021/04/20,2154
2021/04/21,2111
2021/04/22,1970
2021/04/23,1892
2021/04/24,1500
2021/04/25,1120
2021/04/26,1800
2021/04/27,1602
2021/04/28,1675
2021/04/29,1523
2021/04/30,1548
2021/05/01,1117
2021/05/02,1001
2021/05/03,1665
2021/05/04,1633
2021/05/05,1474
2021/05/06,1359
2021/05/07,1305
2021/05/08,1061
2021/05/09,856
2021/05/10,1606
2021/05/11,1509
2021/05/12,1421
2021/05/13,1476
2021/05/14,1554
2021/05/15,1461
2021/05/16,1086
2021/05/17,1993
2021/05/18,1973
2021/05/19,1953
2021/05/20,2011
2021/05/21,1913
2021/05/22,1361
2021/05/23,979
2021/05/24,1362
2021/05/25,1359
2021/05/26,1859
2021/05/27,1700
2021/05/28,1529
2021/05/29,1286
2021/05/30,878
2021/05/31,1576
2021/06/01,1529
2021/06/02,1303
2021/06/03,1287
2021/06/04,1236
2021/06/05,984
2021/06/06,705
2021/06/07,1329
2021/06/08,1151
2021/06/09,1162
2021/06/10,1122
2021/06/11,1001
2021/06/12,777
2021/06/13,700
2021/06/14,1106
2021/06/15,958
2021/06/16,884
2021/06/17,836
2021/06/18,857
2021/06/19,682
2021/06/20,457
2021/06/21,677
2021/06/22,1022
2021/06/23,935
2021/06/24,992
2021/06/25,991
2021/06/26,748
2021/06/27,516
2021/06/28,849
2021/06/29,774
2021/06/30,726
2021/07/01,780
2021/07/02,719
2021/07/03,579
2021/07/04,487
2021/07/05,729
2021/07/06,655
2021/07/07,743
2021/07/08,675
2021/07/09,571
2021/07/10,602
2021/07/11,389
2021/07/12,674
2021/07/13,597
2021/07/14,592
2021/07/15,523
2021/07/16,555
2021/07/17,454
2021/07/18,306
2021/07/19,537
2021/07/20,428
2021/07/21,402
2021/07/22,444
2021/07/23,450
2021/07/24,367
2021/07/25,293
2021/07/26,528
2021/07/27,420
2021/07/28,367
2021/07/29,368
2021/07/30,400
2021/07/31,341
2021/08/01,278
2021/08/02,410
2021/08/03,412
2021/08/04,392
2021/08/05,360
2021/08/06,402
2021/08/07,289
2021/08/08,216
2021/08/09,332
2021/08/10,334
2021/08/11,297
2021/08/12,273
2021/08/13,240
2021/08/14,199
2021/08/15,175
2021/08/16,233
2021/08/17,247
2021/08/18,230
2021/08/19,209
2021/08/20,274
2021/08/21,188
2021/08/22,130
2021/08/23,187
2021/08/24,220
2021/08/25,155
2021/08/26,168
2021/08/27,143
2021/08/28,118
2021/08/29,97
2021/08/30,153
2021/08/31,160
2021/09/01,156
2021/09/02,125
2021/09/03,160
2021/09/04,93
2021/09/05,82
2021/09/06,126
2021/09/07,96
2021/09/08,104
2021/09/09,88
2021/09/10,111
2021/09/11,72
2021/09/12,41
2021/09/13,115
2021/09/14,76
2021/09/15,72
2021/09/16,80
2021/09/17,78
2021/09/18,43
2021/09/19,34
2021/09/20,54
2021/09/21,73
2021/09/22,69
2021/09/23,49
2021/09/24,62
2021/09/25,43
2021/09/26,32
2021/09/27,74
2021/09/28,36
2021/09/29,40
2021/09/30,57
2021/10/01,52
2021/10/02,25
2021/10/03,30
2021/10/04,55
2021/10/05,49
2021/10/06,59
2021/10/07,41
2021/10/08,23
2021/10/09,35
2021/10/10,37
2021/10/11,50
2021/10/12,68
2021/10/13,55
2021/10/14,65
2021/10/15,65
2021/10/16,39
2021/10/17,26
2021/10/18,58
2021/10/19,61
2021/10/20,68
2021/10/21,80
2021/10/22,91
2021/10/23,61
2021/10/24,57
2021/10/25,83
2021/10/26,76
2021/10/27,82
2021/10/28,88
2021/10/29,59
2021/10/30,72
2021/10/31,38
2021/11/01,77
2021/11/02,79
2021/11/03,86
2021/11/04,86
2021/11/05,85
2021/11/06,62
2021/11/07,56
2021/11/08,115
2021/11/09,104
2021/11/10,106
2021/11/11,81
2021/11/12,87
2021/11/13,67
2021/11/14,63
2021/11/15,99
2021/11/16,80
2021/11/17,86
2021/11/18,82
2021/11/19,74
2021/11/20,61
2021/11/21,62
2021/11/22,60
2021/11/23,95
2021/11/24,90
2021/11/25,93
2021/11/26,130
2021/11/27,89
2021/11/28,90
2021/11/29,133
2021/11/30,115
2021/12/01,132
2021/12/02,150
2021/12/03,113
2021/12/04,155
2021/12/05,126
2021/12/06,174
2021/12/07,180
2021/12/08,147
2021/12/09,249
2021/12/10,256
2021/12/11,227
2021/12/12,220
2021/12/13,296
2021/12/14,289
2021/12/15,299
2021/12/16,373
2021/12/17,371
2021/12/18,314
2021/12/19,312
2021/12/20,560
2021/12/21,738
2021/12/22,1011
2021/12/23,975
2021/12/24,747
2021/12/25,441
2021/12/26,1200
